market_id,created_at,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_couriers,total_busy_couriers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
2.0,2015-02-13 00:00:02,853,italian,1.0,1,1450,1,1450,1450,15.0,5.0,5.0,446,1150.0
1.0,2015-02-13 00:00:04,2118,chinese,1.0,4,3245,3,750,995,3.0,1.0,1.0,446,459.0
1.0,2015-02-13 00:00:18,624,american,5.0,5,3575,5,395,995,12.0,11.0,14.0,251,637.0
2.0,2015-02-13 00:00:50,1185,dessert,5.0,3,4030,2,1095,1150,31.0,24.0,20.0,251,655.0
4.0,2015-02-13 00:00:55,4377,greek,2.0,3,4317,3,1324,1586,36.0,27.0,29.0,251,671.0
5.0,2015-02-13 00:01:26,4115,dessert,4.0,2,1698,2,109,109,8.0,4.0,4.0,251,436.0
2.0,2015-02-13 00:01:30,2153,middle-eastern,5.0,5,6775,5,695,2095,13.0,10.0,8.0,446,424.0
3.0,2015-02-13 00:01:32,6617,mexican,1.0,1,799,1,799,799,2.0,0.0,0.0,446,608.0
2.0,2015-02-13 00:01:38,4892,barbecue,1.0,1,4495,1,4495,4495,15.0,5.0,5.0,446,837.0
3.0,2015-02-13 00:01:45,1695,japanese,1.0,1,399,1,260,260,,,,446,905.0
4.0,2015-02-13 00:01:52,205,burger,4.0,2,1388,2,539,669,23.0,10.0,10.0,251,835.0
1.0,2015-02-13 00:01:59,2956,fast,4.0,6,3010,4,405,825,12.0,11.0,14.0,251,915.0
6.0,2015-02-13 00:02:01,1779,dessert,5.0,2,2590,2,1295,1295,,,,251,586.0
2.0,2015-02-13 00:02:05,3247,pizza,6.0,6,2380,3,195,795,31.0,24.0,20.0,446,471.0
6.0,2015-02-13 00:02:13,5300,other,5.0,3,1500,3,325,850,,,,251,548.0
2.0,2015-02-13 00:02:34,1851,fast,4.0,17,1532,6,189,318,37.0,33.0,24.0,251,623.0
4.0,2015-02-13 00:02:37,1951,hawaiian,3.0,1,1195,1,1195,1195,29.0,24.0,29.0,251,936.0
6.0,2015-02-13 00:02:51,3051,dessert,1.0,1,950,1,950,950,,,,446,751.0
5.0,2015-02-13 00:03:02,3164,sandwich,2.0,3,2640,3,595,1150,18.0,8.0,8.0,251,581.0
2.0,2015-02-13 00:03:05,5721,burger,4.0,3,1217,3,229,679,31.0,24.0,20.0,251,887.0
4.0,2015-02-13 00:03:31,4129,pizza,1.0,3,3047,3,124,1172,21.0,17.0,16.0,446,701.0
1.0,2015-02-13 00:03:35,5495,persian,3.0,1,999,1,999,999,8.0,8.0,9.0,251,101.0
3.0,2015-02-13 00:04:05,4781,other,5.0,4,2276,4,279,999,18.0,8.0,8.0,251,818.0
6.0,2015-02-13 00:04:22,2907,vietnamese,1.0,2,1570,2,385,1095,29.0,24.0,29.0,446,656.0
5.0,2015-02-13 00:04:29,4997,greek,1.0,1,895,1,895,895,21.0,18.0,19.0,446,449.0
1.0,2015-02-13 00:04:34,5233,american,1.0,3,2565,3,595,1175,12.0,11.0,14.0,446,814.0
2.0,2015-02-13 00:04:46,6865,mexican,5.0,4,2496,2,449,799,31.0,24.0,20.0,251,551.0
2.0,2015-02-13 00:05:16,1703,sushi,1.0,4,2896,4,369,799,16.0,10.0,8.0,251,465.0
4.0,2015-02-13 00:05:35,77,japanese,3.0,5,3170,3,550,895,22.0,18.0,19.0,251,509.0
1.0,2015-02-13 00:05:55,59,chinese,1.0,4,1665,4,190,710,0.0,0.0,0.0,446,613.0
6.0,2015-02-13 00:06:10,2397,other,1.0,1,1125,1,700,700,,,,446,763.0
6.0,2015-02-13 00:06:39,1256,breakfast,2.0,3,1057,3,350,357,,,,251,570.0
5.0,2015-02-13 00:06:53,4054,american,1.0,7,7190,4,375,1995,14.0,8.0,8.0,446,605.0
5.0,2015-02-13 00:06:58,4160,american,1.0,4,2950,4,200,975,18.0,14.0,15.0,446,259.0
4.0,2015-02-13 00:07:20,3495,pizza,3.0,1,1840,1,1225,1351,31.0,10.0,17.0,251,521.0
3.0,2015-02-13 00:07:30,2556,other,4.0,1,599,1,599,599,7.0,5.0,6.0,251,476.0
4.0,2015-02-13 00:07:33,5168,salad,3.0,4,3979,4,529,899,22.0,18.0,19.0,251,372.0
2.0,2015-02-13 00:07:34,1194,pizza,3.0,2,3218,2,849,1949,32.0,27.0,23.0,251,719.0
4.0,2015-02-13 00:08:00,3770,catering,3.0,4,4330,4,695,1195,29.0,23.0,27.0,251,943.0
2.0,2015-02-13 00:08:08,6947,indian,2.0,3,3658,3,810,1456,13.0,12.0,14.0,251,440.0
2.0,2015-02-13 00:08:18,1311,american,3.0,4,1226,3,79,819,32.0,27.0,23.0,251,645.0
5.0,2015-02-13 00:08:41,3806,mexican,1.0,3,2175,3,315,1150,14.0,8.0,8.0,446,848.0
1.0,2015-02-13 00:08:59,4569,mexican,1.0,2,1099,2,0,974,0.0,0.0,0.0,446,669.0
2.0,2015-02-13 00:09:09,4066,sandwich,3.0,2,1348,2,299,849,32.0,27.0,23.0,251,457.0
4.0,2015-02-13 00:09:13,1563,fast,4.0,3,1797,2,479,839,29.0,23.0,27.0,251,715.0
2.0,2015-02-13 00:09:37,6865,mexican,5.0,1,794,1,699,699,32.0,27.0,23.0,251,420.0
4.0,2015-02-13 00:09:45,1951,hawaiian,3.0,2,1675,2,650,775,29.0,23.0,27.0,251,1322.0
2.0,2015-02-13 00:09:48,601,mexican,3.0,1,1299,1,1299,1299,32.0,27.0,23.0,251,610.0
2.0,2015-02-13 00:09:48,874,italian,3.0,4,3220,4,325,1050,16.0,10.0,8.0,251,1081.0
5.0,2015-02-13 00:10:30,4699,pizza,1.0,1,1800,1,1800,1800,7.0,6.0,8.0,446,556.0
4.0,2015-02-13 00:10:41,4367,salad,2.0,2,1755,2,695,765,31.0,20.0,25.0,251,425.0
3.0,2015-02-13 00:10:46,769,smoothie,5.0,1,725,1,725,725,20.0,8.0,8.0,251,515.0
4.0,2015-02-13 00:10:55,6151,pizza,3.0,5,4125,3,149,1429,31.0,20.0,25.0,251,925.0
5.0,2015-02-13 00:11:07,1036,pizza,1.0,1,1200,1,1200,1200,,,,251,478.0
5.0,2015-02-13 00:11:24,5302,chinese,4.0,2,900,2,190,710,19.0,15.0,17.0,251,943.0
2.0,2015-02-13 00:11:46,1678,breakfast,5.0,4,4800,2,750,1225,31.0,20.0,25.0,251,259.0
2.0,2015-02-13 00:11:55,4862,sandwich,5.0,1,999,1,999,999,31.0,29.0,26.0,251,779.0
4.0,2015-02-13 00:12:08,1409,vietnamese,5.0,1,870,1,795,795,22.0,20.0,20.0,251,435.0
2.0,2015-02-13 00:12:25,3225,mexican,1.0,5,3595,3,699,799,31.0,29.0,26.0,446,274.0
3.0,2015-02-13 00:12:38,3773,fast,4.0,3,837,3,169,459,2.0,2.0,2.0,251,216.0
2.0,2015-02-13 00:12:42,3983,american,3.0,1,1795,1,1795,1795,31.0,29.0,26.0,251,875.0
3.0,2015-02-13 00:12:54,515,mexican,3.0,2,1990,2,595,1395,7.0,6.0,7.0,251,505.0
3.0,2015-02-13 00:12:59,4907,mexican,1.0,3,3147,1,1049,1049,7.0,6.0,7.0,446,310.0
4.0,2015-02-13 00:13:04,4113,mediterranean,2.0,2,1694,2,599,1095,31.0,20.0,25.0,251,723.0
2.0,2015-02-13 00:13:11,193,vietnamese,5.0,2,750,2,350,350,31.0,29.0,26.0,251,557.0
2.0,2015-02-13 00:13:15,915,dessert,5.0,1,1145,1,795,795,31.0,29.0,26.0,251,428.0
4.0,2015-02-13 00:13:28,1370,pizza,5.0,2,2548,2,1099,1199,31.0,20.0,25.0,251,540.0
6.0,2015-02-13 00:13:44,399,burger,3.0,7,3724,7,175,750,,,,251,695.0
3.0,2015-02-13 00:13:53,5688,seafood,3.0,1,1150,1,1150,1150,20.0,8.0,8.0,251,965.0
2.0,2015-02-13 00:14:33,3813,greek,5.0,9,10887,6,799,1799,31.0,29.0,26.0,251,578.0
2.0,2015-02-13 00:14:41,355,burger,4.0,6,4170,1,695,695,31.0,29.0,26.0,251,692.0
1.0,2015-02-13 00:14:57,3457,fast,4.0,39,1126,3,0,279,11.0,10.0,15.0,251,228.0
4.0,2015-02-13 00:15:10,6151,pizza,3.0,6,3934,3,549,1099,31.0,24.0,24.0,251,798.0
3.0,2015-02-13 00:15:22,5755,fast,4.0,2,1930,1,898,898,3.0,2.0,1.0,251,570.0
2.0,2015-02-13 00:15:25,4862,sandwich,5.0,2,1061,2,163,898,28.0,28.0,28.0,251,351.0
3.0,2015-02-13 00:15:31,707,american,4.0,18,1758,5,0,159,20.0,8.0,9.0,251,875.0
4.0,2015-02-13 00:15:35,2056,chinese,3.0,7,5535,6,175,1295,22.0,19.0,19.0,251,957.0
5.0,2015-02-13 00:15:37,1630,pizza,2.0,1,1499,1,1499,1499,8.0,8.0,8.0,251,495.0
5.0,2015-02-13 00:15:40,3603,mexican,1.0,1,2000,1,2000,2000,13.0,4.0,4.0,446,527.0
1.0,2015-02-13 00:15:40,3624,mexican,1.0,1,2050,1,950,950,10.0,9.0,17.0,446,670.0
2.0,2015-02-13 00:15:42,355,burger,4.0,3,1553,3,269,595,28.0,28.0,28.0,251,324.0
2.0,2015-02-13 00:15:45,5537,barbecue,3.0,5,2925,5,250,750,19.0,14.0,18.0,251,623.0
2.0,2015-02-13 00:15:48,6865,mexican,5.0,1,449,1,449,449,28.0,28.0,28.0,251,474.0
1.0,2015-02-13 00:16:01,1229,american,4.0,5,6546,4,799,2150,31.0,24.0,24.0,251,374.0
1.0,2015-02-13 00:16:08,6025,american,1.0,6,5700,5,500,1200,15.0,14.0,14.0,446,175.0
1.0,2015-02-13 00:16:15,1593,mexican,1.0,2,1420,2,225,1195,13.0,10.0,8.0,446,126.0
5.0,2015-02-13 00:16:26,62,other,1.0,3,1574,3,25,799,13.0,4.0,4.0,446,761.0
2.0,2015-02-13 00:16:31,1836,indian,3.0,4,2296,2,499,799,16.0,13.0,11.0,251,683.0
5.0,2015-02-13 00:16:50,4921,american,1.0,4,1916,4,239,799,18.0,12.0,16.0,446,745.0
2.0,2015-02-13 00:17:08,6364,persian,2.0,2,2590,1,1295,1295,28.0,28.0,28.0,251,741.0
2.0,2015-02-13 00:17:24,5125,sandwich,3.0,4,2547,3,429,849,16.0,13.0,11.0,251,211.0
2.0,2015-02-13 00:17:33,1264,other,3.0,3,3450,3,600,975,19.0,14.0,18.0,251,180.0
5.0,2015-02-13 00:17:45,202,sandwich,3.0,2,2147,2,679,1259,18.0,12.0,16.0,251,610.0
3.0,2015-02-13 00:17:48,4893,greek,3.0,1,878,1,629,629,20.0,8.0,9.0,251,736.0
1.0,2015-02-13 00:17:51,4668,smoothie,4.0,1,499,1,449,449,13.0,10.0,8.0,251,665.0
1.0,2015-02-13 00:17:59,4401,pizza,5.0,4,3700,3,650,1300,4.0,2.0,2.0,251,205.0
3.0,2015-02-13 00:18:04,3187,seafood,2.0,4,2572,4,199,1299,,,,251,712.0
2.0,2015-02-13 00:18:24,1628,dessert,2.0,3,1275,1,425,425,28.0,28.0,28.0,251,896.0
4.0,2015-02-13 00:18:57,730,middle-eastern,3.0,2,2350,1,1025,1025,31.0,24.0,24.0,251,1412.0
1.0,2015-02-13 00:19:01,4423,dessert,4.0,1,1350,1,1350,1350,15.0,14.0,14.0,251,232.0
2.0,2015-02-13 00:19:04,355,burger,4.0,4,2524,4,389,695,28.0,28.0,28.0,251,538.0
3.0,2015-02-13 00:19:29,2152,pizza,2.0,5,5685,5,599,1679,8.0,7.0,8.0,251,590.0
3.0,2015-02-13 00:19:36,4534,american,1.0,2,2275,2,675,925,3.0,2.0,1.0,446,140.0
5.0,2015-02-13 00:19:40,1417,fast,4.0,2,1031,2,153,813,14.0,8.0,8.0,251,568.0
4.0,2015-02-13 00:19:41,5235,french,3.0,3,4400,3,1200,1800,19.0,12.0,13.0,251,346.0
